Column1,Column2
acknowledge,…の存在［正しさ］を認める
adjust,…を調節する
adjust (adapt),順応する
advise,…にアドバイスする［勧める］
amuse,…を楽しませる
analyze,…を分析する
assure,…に～だとして安心させる
astonish,…をびっくりさせる
beg,…を乞う
bend,…を曲げる
blink,まばたきをするまばたき
bow,お辞儀をするお辞儀
broadcast,…を放送する
burst,破裂する…を破裂させる
bury,…を埋める
capture,…を捕える
cease,…をやめる終わる
celebrate,…を祝う
characterize,…を特徴づける
cling,しがみつく固執する
commit,＜罪など＞を犯す
confine,…を限る…を閉じこめる
confirm,…を確認する
confront,…を直面させる
constitute,…を構成する
convert,…を変える変わる
cultivate,…を耕作する…を栽培する
cure,…を治療する
dare,思い切って…する生意気にも…する
delay,…を遅らせる
deliver,…を配達する
depress,…を落胆させる
devise,…を考え出す
diminish,減る…を減らす
disagree,一致しない
discourage,…をがっかりさせる
dominate,…を支配する
dwell,住む
eliminate,…を取り除く
embarrass,…を恥ずかしがらせる…にばつの悪い思いをさせる
endure,…に耐える
ensure,…を確実にする…を保証する
equip,…に備え付ける［身につけさせる］
evolve,進化する
exhaust,…を疲れ果てさせる…を使い果たす
exhibit,…を表に出す…を展示する
fascinate,…を魅了する
float,浮かぶ
fold,…を折りたたむ
found,…を設立する
fulfill,…を果たす…をかなえる
gaze,じっと見つめる
generate,…を発生させる
grasp,…をつかむ…を理解する
guarantee,…を保証する
guard,…の警護［監視］をする／警護者監視者
illustrate,…を詳しく説明する
imitate,…を模倣する
impose,…を課す
inclined,傾いている傾向がある
industrialize,…を産業化［工業化］する
inspire,…を鼓舞する
interfere,干渉する阻害する
interrupt,…の邪魔をする…を中断させる
investigate,（…を）調査する
justify,…を正当化する
leap,跳ぶ
melt,溶ける…を溶かす
misunderstand,…を誤解する
neglect,…の世話を怠る…を省みない
nod,うなずく
offend,…の気分を害する
originate,起こる生じる
overlook,…を見落とす…を見過ごす
owe,…に金を借りている
pour,…を注ぐ
pray,祈る
proceed,進む
protest,抗議する抗議
rank,階級地位
