Column1,Column2
accept,…を受け入れる
achieve,…を達成する
acquire,…を身につける
add,…を付け加える
advance,"前進する (to advance)前進 (an advance)事前 (prior, in advance)"
affect,…に影響を与える
agree,同意する (you can do it)賛成する (I agree)
allow,…を許可する
allow,…が～するのを許す
appear,現れる
appear,…のように思われる
apply,…を適用する当てはまる
approach,…に近づく
argue,（感情的に）論じる…だと主張する
assume,…を当然のことと思う…を引き受ける (take over)
avoid,…を避ける
bear,…を我慢する
beat,…をうち負かす
belong,属する
bite,…を噛む…を刺す
care,気にかける (I care)注意 (take care)関心 (care about)
catch,…に乗るのに間に合う…が～しているのを見つける
claim,…が自分のものだと主張する
communicate,意思を伝える (say what I think)…を伝達する (say)
compare,…を比較する (to compare)…をたとえる (for example)
consider,…について考える (think about)…を～だと見なす (think that something is something)
consume,…を消費する
contact,…と連絡をとる (I was contacted by)接触 (make contact with/touch)連絡 (contact someone)
contain,…を含む (this contains)…が入っている (A is in B)
continue,…を続ける
cost,…を（費用として）必要とさせる費用 (the cost)
count,重要である数える
cover,…を覆う…（の範囲を）カバーする
create,…を作り出す (make)…を創造する (think of)
cross,…を横切る不機嫌な
decline,…を断る衰退する低下衰退
define,…の意味を明確に述べる
depend,依存する次第である
describe,…について述べる…を描写する
destroy,…を破壊する
determine,…を決める
develop,…を発達［発展］させる発達する
die,死ぬ
disappear,消える
discover,…を発見する
draw,…を引きつける
earn,…を稼ぐ
encourage,…を励ます…を助長する
enter,…に入る
establish,…を設立する
excite,…を興奮させる
exist,存在する
expect,…を予想する…を期待する
explain,…を説明する
express,…を表現する
face,…に直面する
fail,失敗する
fear,…を恐れる恐れ
feed,…に食べ物を与える…を養う
fire,…を首にする
fit,…に適合する適した
flow,流れる流れ
follow,…の後を追う
gain,…を得る獲得
gather,…を集める集まる
get,…になる…を手に入れる
guess,…だと思う…を推測する当てずっぽう
hit,…を叩く
hold,…を（一時的に）持っている
hunt,捜し求める
hurt,…を傷つける
imagine,…を想像する
improve,…を改善する
include,…を含む
increase,…を増やす増える
indicate,…を指し示す
influence,…に影響を及ぼす影響
insist,要求する主張する
introduce,…を紹介する…を導入する
invent,…を発明する
involve,…を含む…を巻き込む
lay,…を横たえる
lead,…の先頭に立つつながる
lie,横たわる嘘をつく
lose,…を失う負ける
maintain,…を維持する…だと主張する
manage,何とかうまくやる管理を行う
manufacture,製造する
marry,…と結婚する
mean,…を意味する…を意図する
mention,…について言及する
miss,…が（い）ないのを寂しく思う…に乗り損なうミスする
observe,…を観察する…を遵守する
offer,…を申し出る申し出
perform,…を行う機能する
please,…を喜ばせる
prefer,…をより好む
prepare,準備をする…に準備をさせる
press,…を押すマスコミ(mass communication)
prevent,…を妨げる
produce,…を生みだす…を生産する
program,（実施）計画プログラム
protect,…を守る
prove,…を証明する…だと判明する
provide,…を［…に］与える
publish,…を出版する
raise,…を上げる
reach,…に到着する…に手が届く
realize,…だとわかる…を実現する
receive,…を受け取る
recognize,…がそれ（その人）だとわかる
reduce,…を減らす
refer,言及する述べる
reflect,…を反映する熟考する
refuse,…を拒否する
regard,…を～と見なす
remain,…のままである残る
remember,…を覚えている…を思い出す
reply,返答する (used in business letters)返答
represent,…を表す…を代表する
require,…を必要とする
reveal,…を明らかにする
rise,上がる昇る
risk,危険…を危険にさらす
rule,…を統治する規則習慣
satisfy,…を満足させる
save,…を省く…を救う…を貯蓄する
search,…を捜す探索捜索
seat,…を着席させる席
seek,…を求める
seem,…であるようだ
serve,…の役に立つ…に仕える
share,…を分かち合う
solve,…を解く
sound,…に聞こえる音
spend,…を費やす
spread,広がる…を広げる
stay,…のままであるとどまる
steal,…をこっそり盗む
stick,くっつく固執する棒きれ
strike,…を叩く…に～という印象を与える
struggle,もがき苦しむ
suffer,苦しむ…を患う
suggest,…を提案する…を示唆する
support,…を支持［支援］する支持支援
suppose,…だと思う…だと仮定する
surprise,…を驚かせる驚き
survive,（…を切り抜け）生き残る
tend,…する傾向がある
treat,…を扱う
vary,さまざまである
waste,…を浪費する浪費廃棄物
wear,…を身につけている
win,勝つ…を勝ち取る
wonder,…かなと思う驚き
worry,…を心配させる心配
action,動作行動
activity,活動
advantage,有利利点
aid,援助／…を助ける
amount,量額
area,地域面積
arms,武器兵器
aspect,局面
atmosphere,雰囲気
attempt,試み／…を試みる
attitude,考え方態度
audience,聴衆観客視聴者
basis,土台基礎
behavior,行動振る舞い
benefit,利益／…に利益をもたらす
bill,請求書紙幣法案
birth,誕生
blood,血
brain,頭脳
case,場合事例
cause,原因／…の原因となる…に～させる
challenge,挑戦難題／…に異議を唱える
chance,機会可能性偶然
character,性格特質
choice,選択（肢）
civilization,文明
class,階級等級授業学級
clerk,事務員
communication,コミュニケーション意思の伝達
community,共同社会
company,会社仲間
competition,競争競争相手
content,中身目次／満足して
control,支配制御／…を支配［制御］する
crowd,群衆人混み
culture,文化
customer,顧客
damage,損害／…に損害を与える
degree,程度度
demand,要求需要／…を要求する
desire,願望／…を強く望む
detail,詳細
development,発展発達
difference,違い
difficulty,困難苦労
direction,方向方角
disease,病気
distance,距離
doubt,疑い／…を疑う
economy,経済
education,教育
effect,効果影響結果
environment,環境
event,出来事行事
evidence,証拠
exchange,交換／…を交換する
exercise,運動練習／運動をする
experience,経験／…を経験する
experiment,実験
expression,表現
fact,事実
factor,要因要素
failure,失敗失敗作失敗者
feature,特徴／…を目玉とする
field,分野領域野原畑
figure,数字姿人物
force,力／…を［に］強制する
form,形態／…を形成する
freedom,自由
generation,世代
godGod,神
government,政府統治
growth,成長
habit,（個人の）習慣，癖
history,歴史
idea,考え思いつき
industry,産業工業
information,情報
issue,問題（雑誌などの）号／…を出す
kid,子供／（…を）からかう
knowledge,知識
labor,労働
lack,不足欠落／…がない
language,ことば言語
law,法律法則
level,レベル水準程度
life,生活，人生，生命
limit,限度，制限／…を制限する
line,行列
literature,文学
loss,失うこと損失
majority,大多数大半
mark,しるし（試験の）点数／…の印となる
market,市場 (food market)市場 (economics: the market)
mass,塊集団大衆
material,材料原料／物質（的）な
meal,食事
measure,措置測るもの／…を測る
method,方法
million,百万
mind,アタマ思考／…を嫌がる
mistake,誤り／…を～と間違える
moment,瞬間，時
most,大半／最も…
movement,動き（政治的・社会的）運動
nation,国家民族国民
nature,自然性質
note,メモ／…に注目［注意］する
object,物体対象目的／反対する
office,会社仕事部屋公職の地位
opinion,意見
opportunity,機会
order,命令秩序／…に命じる…を注文する
paper,新聞書類レポート論文
party,政党当事者
period,期間時代
phone,電話／…に電話をかける
place,場所／…を置く
plant,植物
pleasure,楽しみ喜び
policy,政策方針
population,人口国民
position,位置，立場，地位
power,力，権力，大国
practice,練習，慣習，実行
president,社長，大統領，学長
price,値段
principle,原理・原則，主義
problem,問題
process,過程／…を加工処理する
product,製品，産物
production,生産，製造
progress,進歩
purpose,目的
quality,質
range,範囲／範囲が及ぶ
rate,率，割合
reality,現実
reason,理由，理性
relation,関係
relationship,関係
research,研究，調査
respect,尊敬，尊重，点／…を尊敬する
response,反応，返答
rest,休憩，その他／休憩する
