Column1,Column2
abandon,___ を捨て去る
absorb,___ を吸収する
absorb,___ を没頭させる
accomplish,___ を成し遂げる
accompany,___ に付き添う
accuse,___ を非難［告発］する
adapt,___ を適合［適応］させる
admire,___ をすばらしいと思う___ を賞賛する (polite)
admit,___ を認める
adopt,___ を自分のものにする
advertise,___ を宣伝する___ を［広告］する
afford,___ の余裕がある
aim,ねらいをつける目的
alter,___ を変える
annoy,___ をいらだたせる
appeal,訴える
arise,起こる
arise,生じる
arrange,（___ を）計画する（___ を）準備する
associate,___ を結びつけて考える
attach,___ を貼り付ける___ を取り付ける
attend,___ に出席する
attract,___ を引きつける
behave,振る舞う
bind,___ を縛りつける
block,___ を妨げる
blow,（___ を）吹く／打撃
borrow,___ を借りる
breathe,呼吸をする
collect,___ を集める___ を徴収する
combine,___ を結合させる
command,___ に［を］命じる／行使する力
compete,競争する
complain,不満を言う
compose,___ を構成する＜曲や詩＞を作る
concentrate,集中する
conclude,締めくくる___ という結論を下す
confuse,___ を混乱させる
connect,___ をつなげる
considerable,かなりの
consist,成り立つ存在する
construct,___ を組み立てる___ を建造する
contribute,寄付する貢献する
convey,___ を伝える，___ を運ぶ
convince,___ に納得させる
cope,対処する
criticize,___ を批判する
decision,決定決心
declare,___ を宣言する
decrease,減少する／減少
defeat,___ を負かす
defend,___ を守る
deny,___ を否定する
derive,___ を引き出す
devote,＜時間・努力＞を注ぐ
disappoint,___ をがっかりさせる
discuss,___ について議論する
dislike,___ を嫌がる／嫌悪
display,___ を展示する／展示
distinguish,___ を区別する
disturb,___ の平穏を妨げる
divide,___ を分割する
educate,___ を教育する
emerge,現れる
emphasize,___ を強調する
employ,___ を雇う
enable,___ に可能にさせる
encounter,___ に遭遇する
entertain,___ を楽しませる
estimate,___ を推定する___ を見積もる／推定
examine,___ を検査する，___ を調べる
expand,___ を拡大する
explore,___ を探索［探検］する
export,___ を輸出する／輸出
expose,___ を明らかにする___ をさらす
extend,延びる___ を拡張する
fix,___ を固定する___ を修理する
frighten,___ をおびえさせる___ を怖がらせる
govern,___ を統治する
graduate,卒業する
greet,___ にあいさつをする
handle,___ を手で扱う___ にうまく対処する
hang,___ つるす___ を絞首刑にする
hate,___ をひどく嫌う
hesitate,ためらう
hire,___ を雇う
identify,___ を見分ける
ignore,___ を無視する
imply,___ をほのめかす
import,___ を輸入する／輸入
impress,___ に感銘を与える
inform,___ に知らせる
intend,意図するつもりである
interpret,___ を解釈する通訳する
isolate,___ を孤立させる
judge,___ を判断する／審判員裁判官
notice,___ に気づく／注意掲示
obtain,___ を手に入れる
occupy,___ を占める，___ を占領する
oppose,___ に反対する
organize,___ を組織する
overcome,___ を克服する
participate,参加する
pause,話［行動］を中断する／間（ま）小休止
perceive,___ を知覚する
permit,___ を許可する
persuade,説得する
possess,___ を所有する
praise,___ をほめる
predict,___ を予想する，___ を予測する
preserve,___ を保存［保護］する
pretend,___ のふりをする
promote,___ を促進する
propose,___ を提案する
punish,___ を罰する
purchase,___ を購入する／購入
pursue,___ を追い求める
quit,（___ を）やめる
react,反応する
recommend,___ を薦める
recover,回復する
reject,___ を拒絶する
release,___ を解き放つ
rely,頼る信頼する
remind,___ に思い出させる
remove,___ を取り除く
repair,___ を修理する
replace,___ に取って代わる
reserve,___ を取っておく___ を予約する
respond,反応する返答する
retire,退職する引退する
roll,転がる
rush,突進するダッシュする
select,___ を選び出す
settle,___ を決着させる落ち着く
sink,沈む
smell,___ な臭いがする___ の臭いをかぐ
stare,___ をじっと見つめる
stimulate,___ を刺激する
stretch,広がる／広がり
suit,___ に適合する／訴訟
surround,___ を取り囲む
suspect,___ を疑う___ ではないかと思う／容疑者
tear,___ を引き裂く／涙
threaten,___ を脅かす
transfer,___ を移す
transform,___ を変える
translate,___ を翻訳する
transport,___ を輸送する／輸送
vote,投票する／投票
warn,___ に警告する
account,説明口座／説明する占める
addition,付加追加
address,住所演説／___ の前で演説をする
advice,助言
affair,事柄出来事
agent,代理人代理店
agreement,同意一致
agriculture,農業
alternative,代替となるもの／代替の
ancestor,祖先
anger,怒り
anxiety,心配不安
appearance,出現外見
assumption,想定思いこみ
association,協会組合
author,著者作家
authority,権威
automobile,自動車
background,背景経歴
capacity,最大容量［積載量・稼働力］能力
capital,資本資本金首都／大文字の
career,(生涯にわたる）職業
characteristic,特徴
charge,非難料金管理／___ に請求する
circumstance,（周囲の）状況
citizen,市民
climate,気候
conclusion,結論
condition,状態条件
conduct,行為／___ を行う
conference,会議
confidence,自信信頼
conflict,対立争い
consequence,結果
consumption,消費
continent,大陸
contrast,対照
contribution,寄付貢献
conversation,会話
cooperation,協力
copy,（本・雑誌などの）一冊／___ をまねる
creation,創造創造物
crime,犯罪
crisis,危機
criticism,批判
crop,収穫物
curiosity,好奇心
custom,（社会的な）習慣慣習
debate,討論
debt,借金負債
decade,１０年
definition,定義
delight,喜び
democracy,民主主義
desert,砂漠／___ を立ち去る
destruction,破壊
device,装置仕掛け
diet,（日常の）食事ダイエット
disaster,災害
discipline,しつけ規律
discussion,議論
distinction,区別違い
district,地域地区
drug,麻薬薬
element,要素
employee,従業員
enemy,敵
entertainment,娯楽
error,ミス間違い
evolution,進化進展
excuse,言い訳／___ 勘弁する
expert,専門家
explanation,説明
extent,程度
faith,信頼信仰
fate,運命
fault,欠点過失せい
favor,親切な行為
flight,飛行（飛行機の）便
focus,焦点／___ を集中する
fuel,燃料
function,機能／機能する
genius,天才
goal,目標目的
grammar,文法
grant,給付金／___ を与える
guide,案内人案内書／___ を案内する
harm,害／___ を害する
height,高さ
household,（一つ屋根の下で暮らす）家族家
humanity,人間人間性
ideal,理想／理想の
imagination,想像
immigrant,移民
impact,影響衝撃
impression,印象
income,所得
independence,独立自立
instruction,指示指導
intelligence,知能諜報
item,項目
journey,旅
joy,喜び
judgement,判断
laboratory,実験室
landscape,風景
laughter,笑い
leisure,余暇
lesson,授業教訓
luck,運幸運
manager,部長支配人監督
manner,やり方方法
master,主人達人／___ を習得する
match,試合／___ と調和する
matter,事柄／重要である
merchant,商人
murder,(故意の）殺人／___ を（故意に）殺す
necessity,必要必要なもの
neighborhood,近所
notion,考え考え方
novel,小説／新奇な △（Not really used）
observation,観察
occasion,（特定の）時場合
occupation,職業
operation,操作運転手術
organization,組織団体
origin,起源
pain,痛み
passage,（文章の）一節通路
passenger,乗客
personality,人格性格（芸能界などの）有名人
phenomenon,現象
philosopher,哲学者
philosophy,哲学
physics,物理学
plenty,たくさん
politician,政治家
politics,政治
popularity,人気
presence,存在
profit,利益
project,計画事業
proof,証拠
property,財産所有地
proportion,比率割合
proverb,ことわざ
psychologist,心理学者
quantity,量
reaction,反応
region,地域，地方
religion,宗教
remark,ことば感想／___ だと述べる
reputation,評判
revolution,革命
reward,褒美報償／___ に褒美［報償］を与える
row&nbsp;,列／___ をこぐ
security&nbsp;,安心安全治安
self&nbsp;,自己自我
shift&nbsp;,変化／___ を変える
shortage,不足
sight,見ること視力
significance,重要性意義
skin,皮膚皮膜
soil,土土壌
soldier,兵士
solution,解決（法）
statement,話陳述声明
status,社会的地位
stock,株在庫／___ を在庫に持つ
strength,力強さ
substance,物質
sum,金額合計
survey,調査
survival,生存
talent,才能
theme,テーマ
thought,考えること考え
threat,脅威
tongue,言葉舌
tradition,伝統
treatment,扱い処置治療
tribe,部族
trust,信頼信用／___ を信頼［信用］する
union,統合
vehicle,乗り物伝達手段
victim,犠牲者
violence,暴力
virus,ウイルス
vision,未来像ビジョン
vocabulary,語い
wealth,富財産
wisdom,知恵
witness,目撃者証人／___ を目撃する
youth,若さ青年期青少年
accurate,正確な
actual,現実の実際の
alike,よく似た
anxious,心配して切望する
appropriate,適当な適切な
asleep,眠っている
attractive,魅力的な
awake,目を覚ましている
biological,生物学上の
bored,退屈した
brief,短い
capable,可能性があるしかねない有能な
chemical,化学の／化学製品
"civilizedNote: Avoid using the word civilized. Consider using an alternative, such as&nbsp;proper, well-mannered, enlightened or respectful.",発達した文明をもつ
comfortable,心地の良い
complicated,複雑な
conscious,意識して気づいて
constant,絶え間ない
contemporary,現在の現代の同時代の
contrary,反対の
convenient,都合がよい
creative,創造的な
critical,極めて重要な非常に深刻な
curious,好奇心が強い
current,現在の目下の／流れ
dependent,依存している
distant,遠く離れた
domestic,国内の家庭内の
dramatic,劇的な
dull,面白みのない鈍い
eager,強く望んでいる
educational,教育の教育的な
effective,効果的な
efficient,効率［能率］の良い
elderly （失礼な場合olderの形容詞を使う）,年配の
emotional,感情の感情的な
empty,何も入っていない空の
engaged,従事している婚約している
enormous,非常に大きい
entire,全体の___ 全体
evil,邪悪な悪の
extra,余分の
extraordinary,普通でない並はずれた
extreme,極端な
fair,公平なかなりの
FALSE,誤った偽りの
fat,太った／脂肪
favorite,一番好きな一番好きなもの
female女性 (for women)雌 (for plants &amp; animals),雌の女性の／雌女性
financial,財政の金融の
firm,しっかりした堅い／会社
former,前の／前者
friendly,友好的な
fundamental,基本的な根本的な
gentle,穏やかなやさしい
global,地球の世界の
harmful,有害な
historical,歴史（上）の
honest,正直な
immediate,即座の
independent,独立した自立した
intellectual,知的な知性の
intelligent,知能の高い
internal,内部の
junior,ポストが下の下級の／年下の人
latter,後者の
literary,文学の
medium,中間の
military,軍隊の軍事の
mysterious,不可解な
narrow,幅が狭い
nearby,近くの
negative,否定の否定的［悲観的］な
nervous,あがっている神経質な
nuclear,核の
opposite,反対の／___ と反対側の
patient,我慢強い／患者
pleasant,楽しい気持ちのよい
polite,礼儀正しい
positive,自信のある肯定的な
potential,潜在的な
previous,前の
primary,最初の主要な最優先の
"primitiveNote: Avoid using the word primitive. Consider using an alternative, such as&nbsp;early or rudimentary.&nbsp;",原始的な
proper,適切な
proud,自慢に思って
rare,まれな
reasonable,理性のある理にかなった
remarkable,目立った顕著な
responsible,責任がある
rough,ごつごつした粗い大雑把な
rural,田舎の
senior,ポストが上の上級の／年上の人
sensitive,敏感な神経質な
severe,厳しい
significant,重要な
silly,馬鹿な
slight,かすかな
smart,頭の良い
solid,固い／固体
specific,具体的な特定の
